bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1436532,2274002,text,13679,text/html,Introduced,https://legiscan.com/CA/text/SB299/id/2274002,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB299
1436532,2324028,text,46118,text/html,Amended,https://legiscan.com/CA/text/SB299/id/2324028,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB299
1436532,2348517,text,47248,text/html,Amended,https://legiscan.com/CA/text/SB299/id/2348517,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB299
1436533,2274003,text,24557,text/html,Introduced,https://legiscan.com/CA/text/SB300/id/2274003,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB300
1436533,2333348,text,24350,text/html,Amended,https://legiscan.com/CA/text/SB300/id/2333348,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB300
1436534,2274004,text,3120,text/html,Introduced,https://legiscan.com/CA/text/SB301/id/2274004,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB301
1436534,2330973,text,17726,text/html,Amended,https://legiscan.com/CA/text/SB301/id/2330973,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB301
1436535,2274005,text,5293,text/html,Introduced,https://legiscan.com/CA/text/SB302/id/2274005,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB302
1436536,2274006,text,17099,text/html,Introduced,https://legiscan.com/CA/text/SB303/id/2274006,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB303
1436537,2274007,text,5150,text/html,Introduced,https://legiscan.com/CA/text/SB304/id/2274007,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB304
1436537,2356673,text,94853,text/html,Amended,https://legiscan.com/CA/text/SB304/id/2356673,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB304
1436538,2274008,text,8475,text/html,Introduced,https://legiscan.com/CA/text/SB305/id/2274008,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB305
1438466,2276406,text,92539,text/html,Introduced,https://legiscan.com/CA/text/SB306/id/2276406,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB306
1438466,2328954,text,97013,text/html,Amended,https://legiscan.com/CA/text/SB306/id/2328954,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB306
1438466,2346891,text,86617,text/html,Amended,https://legiscan.com/CA/text/SB306/id/2346891,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB306
1438467,2276407,text,3489,text/html,Introduced,https://legiscan.com/CA/text/SB307/id/2276407,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB307
1438468,2276408,text,10821,text/html,Introduced,https://legiscan.com/CA/text/SB308/id/2276408,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB308
1438469,2276409,text,36265,text/html,Introduced,https://legiscan.com/CA/text/SB309/id/2276409,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB309
1438470,2276410,text,21837,text/html,Introduced,https://legiscan.com/CA/text/SB310/id/2276410,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB310
1438470,2348549,text,23790,text/html,Amended,https://legiscan.com/CA/text/SB310/id/2348549,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB310
1438470,2360955,text,23538,text/html,Amended,https://legiscan.com/CA/text/SB310/id/2360955,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB310
1438471,2276411,text,12041,text/html,Introduced,https://legiscan.com/CA/text/SB311/id/2276411,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB311
1438471,2318292,text,12566,text/html,Amended,https://legiscan.com/CA/text/SB311/id/2318292,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB311
1438472,2276412,text,5101,text/html,Introduced,https://legiscan.com/CA/text/SB312/id/2276412,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB312
1438472,2328998,text,26308,text/html,Amended,https://legiscan.com/CA/text/SB312/id/2328998,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB312
1438473,2276413,text,53951,text/html,Introduced,https://legiscan.com/CA/text/SB313/id/2276413,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB313
1438474,2276414,text,114924,text/html,Introduced,https://legiscan.com/CA/text/SB314/id/2276414,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB314
1438474,2366130,text,153370,text/html,Amended,https://legiscan.com/CA/text/SB314/id/2366130,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB314
1438475,2276415,text,72896,text/html,Introduced,https://legiscan.com/CA/text/SB315/id/2276415,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB315
1438475,2336720,text,65430,text/html,Amended,https://legiscan.com/CA/text/SB315/id/2336720,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB315
1438475,2348556,text,64675,text/html,Amended,https://legiscan.com/CA/text/SB315/id/2348556,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB315
1438476,2276416,text,53894,text/html,Introduced,https://legiscan.com/CA/text/SB316/id/2276416,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB316
1438477,2276417,text,42764,text/html,Introduced,https://legiscan.com/CA/text/SB317/id/2276417,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB317
1438477,2373437,text,18326,text/html,Amended,https://legiscan.com/CA/text/SB317/id/2373437,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB317
1438477,2386037,text,24493,text/html,Amended,https://legiscan.com/CA/text/SB317/id/2386037,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB317
1438478,2276418,text,10102,text/html,Introduced,https://legiscan.com/CA/text/SB318/id/2276418,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB318
1438479,2276419,text,8007,text/html,Introduced,https://legiscan.com/CA/text/SB319/id/2276419,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB319
1438480,2276420,text,64533,text/html,Introduced,https://legiscan.com/CA/text/SB320/id/2276420,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB320
1438480,2348541,text,59812,text/html,Amended,https://legiscan.com/CA/text/SB320/id/2348541,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB320
1439683,2277792,text,20903,text/html,Introduced,https://legiscan.com/CA/text/SB321/id/2277792,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB321
1439683,2373470,text,20240,text/html,Amended,https://legiscan.com/CA/text/SB321/id/2373470,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB321
1439684,2277793,text,12425,text/html,Introduced,https://legiscan.com/CA/text/SB322/id/2277793,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB322
1439684,2325600,text,17568,text/html,Amended,https://legiscan.com/CA/text/SB322/id/2325600,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB322
1439685,2277794,text,5433,text/html,Introduced,https://legiscan.com/CA/text/SB323/id/2277794,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB323
1439685,2339813,text,6294,text/html,Amended,https://legiscan.com/CA/text/SB323/id/2339813,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB323
1439686,2277795,text,8412,text/html,Introduced,https://legiscan.com/CA/text/SB324/id/2277795,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB324
1439687,2277796,text,19977,text/html,Introduced,https://legiscan.com/CA/text/SB325/id/2277796,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB325
1439687,2331019,text,19924,text/html,Amended,https://legiscan.com/CA/text/SB325/id/2331019,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB325
1439688,2277797,text,66755,text/html,Introduced,https://legiscan.com/CA/text/SB326/id/2277797,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB326
1439689,2277798,text,6611,text/html,Introduced,https://legiscan.com/CA/text/SB327/id/2277798,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB327
1439690,2277799,text,11803,text/html,Introduced,https://legiscan.com/CA/text/SB328/id/2277799,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB328
1439690,2348551,text,13139,text/html,Amended,https://legiscan.com/CA/text/SB328/id/2348551,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB328
1439690,2366134,text,12949,text/html,Amended,https://legiscan.com/CA/text/SB328/id/2366134,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB328
