bill_id,people_id,position
1385539,16284,18
1385539,16285,23
1385539,16286,25
1385539,16287,31
1385539,16288,32
1385539,16291,39
1385539,16293,42
1385539,16294,47
1385539,16295,49
1385539,16297,55
1385539,16299,67
1385539,16303,77
1385539,16304,3
1385539,16306,36
1385539,16307,44
1385539,16308,50
1385539,16309,54
1385539,17428,66
1385539,17701,33
1385539,18063,16
1385539,18064,62
1385539,18065,40
1385539,18067,2
1385539,18068,76
1385539,18069,27
1385539,18070,69
1385539,18071,41
1385539,18072,35
1385539,18074,21
1385539,18075,45
1385539,18077,29
1385539,18078,6
1385539,18079,14
1385539,18080,73
1385539,18082,53
1385539,19330,28
1385539,19487,13
1385539,19658,30
1385539,19717,8
1385539,19719,57
1385539,19721,63
1385539,19725,4
1385539,19726,24
1385539,19727,38
1385539,19733,65
1385539,21374,34
1385539,21718,22
1385539,21721,71
1385539,21722,72
1385539,21725,19
1385539,21726,43
1385539,21727,51
1385539,22654,12
1385541,16304,1
1385541,18068,2
1385542,16307,1
1385543,19717,1
1385543,19719,2
1385543,21723,3
1385544,14112,8
1385544,14117,1
1385544,16087,12
1385544,16282,6
1385544,16288,7
1385544,16299,13
1385544,17428,2
1385544,19487,5
1385544,19716,4
1385544,19719,10
1385544,19721,11
1385544,21720,14
1385544,21722,15
1385544,21726,3
1385544,21727,9
1385545,16033,3
1385545,16307,1
1385545,18067,4
1385545,18075,5
1385545,19659,6
1385545,19719,7
1385545,19733,8
1385545,21374,2
1385546,14125,2
1385546,16285,1
1385547,1556,8
1385547,10959,1
1385547,11612,5
1385547,16306,4
1385547,18070,3
1385547,18075,7
1385547,19719,2
1385547,21726,6
1385548,14100,5
1385548,14118,12
1385548,16087,14
1385548,16284,1
1385548,16291,8
1385548,16293,9
1385548,16294,10
1385548,16297,11
1385548,17428,2
1385548,18069,6
1385548,18072,7
1385548,18078,3
1385548,18079,4
1385548,19720,13
1385548,21722,15
1385549,14121,7
1385549,16282,3
1385549,18068,9
1385549,18072,4
1385549,18075,5
1385549,19716,1
1385549,19719,6
1385549,19721,2
1385549,19723,8
1385550,14106,1
1385551,1507,2
1385551,14115,7
1385551,16304,1
1385551,16306,6
1385551,18068,8
1385551,18072,5
1385551,19726,4
1385551,21725,3
1385552,1507,3
1385552,14125,8
1385552,16293,6
1385552,16307,7
1385552,19716,2
1385552,19727,5
1385552,19733,1
1385552,21374,4
1385553,16294,1
1385553,18068,2
1385555,19396,1
1385556,18064,1
1385557,14096,1
1385558,14094,2
1385558,16296,3
1385558,18075,1
1385559,16286,3
1385559,16303,1
1385559,18067,2
1385559,21440,4
1385560,1507,3
1385560,10959,2
1385560,16285,4
1385560,16308,1
1385561,16306,3
1385561,18073,2
1385561,18082,4
1385561,19728,1
1385562,19728,1
1385563,19719,1
1385564,16306,1
1385565,14092,8
1385565,14094,10
1385565,14096,1
1385565,14098,17
1385565,14100,21
1385565,14104,19
1385565,14106,29
1385565,14107,31
1385565,14109,33
1385565,14110,39
1385565,14112,43
1385565,14113,47
1385565,14115,48
1385565,14118,53
1385565,14120,55
1385565,14121,63
1385565,14122,64
1385565,14219,49
1385565,16033,40
1385565,16087,58
1385565,16280,11
1385565,16282,15
1385565,16284,18
1385565,16286,23
1385565,16288,28
1385565,16291,32
1385565,16293,37
1385565,16294,41
1385565,16295,44
1385565,16296,46
1385565,16297,51
1385565,16299,60
1385565,16303,69
1385565,16309,50
1385565,16316,45
1385565,17428,59
1385565,18063,16
1385565,18064,56
1385565,18065,34
1385565,18067,2
1385565,18069,24
1385565,18071,36
1385565,18072,30
1385565,18073,6
1385565,18074,20
1385565,18077,26
1385565,18078,7
1385565,18079,14
1385565,19330,25
1385565,19459,3
1385565,19487,13
1385565,19627,35
1385565,19658,27
1385565,19659,42
1385565,19716,4
1385565,19717,9
1385565,19719,52
1385565,19720,54
1385565,19721,57
1385565,19723,68
1385565,21717,5
1385565,21718,22
1385565,21719,38
1385565,21720,61
1385565,21721,65
1385565,21722,66
1385565,21723,67
1385565,22654,12
1385565,22851,62
1385566,1556,1
1385566,10970,5
1385566,14118,6
1385566,16294,2
1385566,18074,3
1385566,19728,8
1385566,19733,7
1385566,21719,4
1385567,16296,1
1385567,18064,2
1385567,18075,3
1385569,14107,8
1385569,14116,2
1385569,14118,9
1385569,14122,11
1385569,16087,10
1385569,16286,1
1385569,16295,5
1385569,16299,3
1385569,16303,12
1385569,17701,4
1385569,19487,7
1385569,21722,6
1385570,19727,1
1385571,1507,1
1385572,10970,57
1385572,14091,9
1385572,14092,11
1385572,14096,17
1385572,14098,21
1385572,14100,2
1385572,14103,30
1385572,14104,24
1385572,14106,35
1385572,14107,37
1385572,14109,39
1385572,14110,43
1385572,14112,47
1385572,14113,50
1385572,14116,53
1385572,14117,58
1385572,14118,61
1385572,14119,60
1385572,14120,63
1385572,14121,71
1385572,14122,72
1385572,14123,76
1385572,14219,54
1385572,16033,44
1385572,16087,66
1385572,16280,13
1385572,16282,19
1385572,16284,22
1385572,16286,27
1385572,16287,33
1385572,16288,34
1385572,16291,38
1385572,16293,42
1385572,16294,45
1385572,16295,48
1385572,16296,49
1385572,16297,56
1385572,16299,68
1385572,16303,79
1385572,16309,55
1385572,17428,67
1385572,18063,20
1385572,18064,64
1385572,18065,40
1385572,18066,18
1385572,18067,3
1385572,18069,28
1385572,18071,41
1385572,18072,36
1385572,18073,8
1385572,18074,25
1385572,18077,31
1385572,18078,10
1385572,18079,16
1385572,18080,75
1385572,19330,29
1385572,19459,5
1385572,19487,15
1385572,19658,32
1385572,19659,46
1385572,19716,6
1385572,19717,12
1385572,19719,59
1385572,19720,62
1385572,19721,65
1385572,19723,78
1385572,19728,1
1385572,21440,51
1385572,21717,7
1385572,21718,26
1385572,21720,69
1385572,21721,73
1385572,21722,74
1385572,21723,77
1385572,21725,23
1385572,21727,52
1385572,22654,14
1385572,22851,70
1385572,22918,4
1385573,10970,1
1385573,16282,3
1385573,19459,2
1385573,19721,9
1385573,19726,6
1385573,19733,10
1385573,21374,7
1385573,21724,4
1385573,21725,5
1385573,21727,8
1385574,1561,1
1385575,14117,2
1385575,14123,15
1385575,16287,5
1385575,16293,7
1385575,16295,8
1385575,16309,10
1385575,18066,1
1385575,18071,6
1385575,18074,3
1385575,18080,14
1385575,21440,9
1385575,21718,4
1385575,21720,11
1385575,21721,13
1385575,22851,12
1385576,10972,14
1385576,14092,8
1385576,14104,1
1385576,14115,12
1385576,14119,6
1385576,16299,2
1385576,16307,10
1385576,18064,13
1385576,18065,9
1385576,18077,4
1385576,19487,3
1385576,19659,11
1385576,19716,7
1385576,21374,5
1385577,1507,8
1385577,11611,15
1385577,14099,11
1385577,14104,10
1385577,14122,19
1385577,16087,18
1385577,16285,12
1385577,16288,13
1385577,16293,17
1385577,16295,3
1385577,16305,6
1385577,16306,16
1385577,17701,1
1385577,18068,20
1385577,18072,14
1385577,19487,9
1385577,19716,7
1385577,19725,5
1385577,19727,2
1385577,19733,4
1385578,16296,4
1385578,16304,3
1385578,18065,1
1385578,21719,2
1385579,1561,12
1385579,14104,2
1385579,14122,13
1385579,16033,4
1385579,16282,1
1385579,16288,7
1385579,16299,5
1385579,16308,11
1385579,18065,3
1385579,18068,15
1385579,19487,6
1385579,19627,8
1385579,19659,10
1385579,19723,14
1385579,21719,9
1385580,14100,12
1385580,14219,17
1385580,16282,9
1385580,16284,10
1385580,16286,14
1385580,16288,2
1385580,16304,5
1385580,16305,6
1385580,16306,3
1385580,18067,4
1385580,18069,15
1385580,18074,11
1385580,18078,7
1385580,19487,8
1385580,19658,1
1385580,19733,18
1385580,21374,16
1385580,21718,13
1385580,21721,20
1385580,22851,19
1385581,16221,3
1385581,16287,1
1385581,18071,2
1385583,14092,2
1385583,14094,3
1385583,14101,17
1385583,14104,4
1385583,14116,24
1385583,14118,9
1385583,14119,8
1385583,14121,13
1385583,14124,14
1385583,16280,21
1385583,16286,5
1385583,16291,19
1385583,16294,6
1385583,16299,12
1385583,16303,27
1385583,16308,23
1385583,18064,10
1385583,18067,1
1385583,18075,22
1385583,18078,20
1385583,19487,16
1385583,19716,15
1385583,19719,7
1385583,19721,11
1385583,19723,26
1385583,21374,18
1385583,21722,25
1385584,14110,1
1385585,14122,1
1385585,16282,3
1385585,21724,2
1385586,19396,1
1385587,1504,1
1385587,1561,2
1385587,14125,3
1385588,19330,1
1385589,16285,1
1385590,14117,10
1385590,14123,13
1385590,14125,14
1385590,16287,5
1385590,16293,1
1385590,16295,7
1385590,16309,9
1385590,18069,4
1385590,18071,6
1385590,18074,2
1385590,18080,12
1385590,21440,8
1385590,21718,3
1385590,22851,11
1385591,19719,1
1385592,19330,1
1385593,1507,1
1385593,1561,12
